
 Lista de Imóveis da Caixa;;Data de geração:;22/04/2025;;;;;;;
 8444420967410 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA II ;RUA JOVIANIA, N. SN, Apto 103, QD 40 LT 12 LOT JD AMERICA II ;60.013,32;141.000,00;57.44;Apartamento, 0.00 de área total, 64.01 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420967410
 8444419615998 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AGUAS LINDAS II ;QUADRA 16, Apto 102, AV NATAL QD 16 LT 17-B ;62.141,45;146.000,00;57.44;Apartamento, 0.00 de área total, 65.38 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419615998
 8444413840620 ;GO ;AGUAS LINDAS DE GOIAS ;RES OURO VILLE ;QUADRA 07 LT 18 RUA M4, N. SN ;47.350,11;109.000,00;56.56;Casa, 0.00 de área total, 55.22 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444413840620
 8444416472231 ;GO ;AGUAS LINDAS DE GOIAS ;RESIDENCIAL SOL NASCENTE I ;AVENIDA ADELIA, N. SN, Apto 04, QD 03, LT 16 ;47.784,52;110.000,00;56.56;Apartamento, 0.00 de área total, 31.35 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416472231
 8555516699027 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA IV ;QUADRA 105, N. SN, LT 06 RUA 35 ;48.806,11;112.000,00;56.43;Casa, 0.00 de área total, 59.81 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555516699027
 1444414092255 ;GO ;AGUAS LINDAS DE GOIAS ;JD AMERICA IV ;RUA ANGICO, QD 106, LT 09 ;51.430,33;118.000,00;56.42;Casa, 0.00 de área total, 67.92 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444414092255
 8444422588122 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QD 4, N. S/N, Apto 101, LT 16B ;50.558,64;116.000,00;56.42;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422588122
 8444404227857 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 12 ;QUADRA 76 CONJUNTO B, N. S/N, LOTE 12-A, CASA 01 ;54.651,80;125.000,00;56.28;Casa, 64.05 de área total, 64.05 de área privativa, 157.50 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404227857
 8444410119580 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES IMPERATRIZ ;QUADRA 8, N. S/N, CS D, LT 08, RUA 33A ;54.214,59;124.000,00;56.28;Casa, 0.00 de área total, 64.45 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410119580
 8787701262293 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES POR DO SOL ;QUADRA QB 33, N. SN, Apto 304, BL E, LT 12 A, AV 5º ;52.902,95;121.000,00;56.28;Apartamento, 0.00 de área total, 50.56 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701262293
 8444401900615 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA IV ;RUA 35 QUADRA 106 LOTE 33, N. SN, CASA ;52.902,95;121.000,00;56.28;Casa, 0.00 de área total, 67.92 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444401900615
 8444418632708 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 11 ;QUADRA 96 AV 05, N. S/N, Apto 101, CJ A, LT 02D, RES BASIC ;52.465,73;120.000,00;56.28;Apartamento, 0.00 de área total, 51.64 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418632708
 1444403097005 ;GO ;AGUAS LINDAS DE GOIAS ;JD DA BARRAGEM II ;RUA 31, QD 61, LT 07 ;149.455,00;341.289,09;56.21;Casa, 0.00 de área total, 256.25 de área privativa, 300.00 de área do terreno,  3 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444403097005
 8444416796690 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES POR DO SOL ;QUADRA B 22, N. 05, LT 09 RUA 18 ;54.957,26;125.000,00;56.04;Casa, 0.00 de área total, 69.70 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416796690
 8444424927838 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QUADRA 4, Apto 103, LT 16-B ;46.671,45;106.000,00;55.98;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444424927838
 8444406609714 ;GO ;AGUAS LINDAS DE GOIAS ;RES OURO VILLE ;RUA M4, N. SN, QD 08  LT 05 ;55.525,97;126.000,00;55.94;Casa, 0.00 de área total, 55.22 de área privativa, 200.00 de área do terreno,  2 qto(s), varanda, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444406609714
 8444402045379 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 65, LT2A-15, RUA 15 ;51.694,41;117.000,00;55.82;Casa, 0.00 de área total, 56.20 de área privativa, 312.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402045379
 8444410468178 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM ;sn, N. SN, CASA04, Q76 LT 08  CONJB ;57.466,04;130.000,00;55.80;Casa, 122.86 de área total, 63.21 de área privativa, 150.35 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444410468178
 8444402465297 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 12 ;QUADRA 75 CONJUNTO A, N. SN, CASA 19, LT 04C ;57.466,04;130.000,00;55.80;Casa, 0.00 de área total, 60.90 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444402465297
 8555519496038 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA IV ;QD QUADRA 105, N. SN, LT 01, RUA 35. ;61.002,41;138.000,00;55.80;Casa, 0.00 de área total, 59.81 de área privativa, 215.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555519496038
 8444418317381 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;QUADRA QUADRA 38, N. 0, Apto 301, LT 11, LOTEAMENTO JARDIM SANTA LUCIA, ;55.697,85;126.000,00;55.80;Apartamento, 73.03 de área total, 65.82 de área privativa, 407.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418317381
 8444420199285 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;RUA EUCALIPTO, N. S/N, LT 16, CS 01 ;57.908,08;131.000,00;55.80;Casa, 0.00 de área total, 60.38 de área privativa, 136.65 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420199285
 8444418686735 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;RUA 21 QUADRA 67, N. S/N, LT 6A-16 JD DA BARRAGEM VI ;64.171,32;144.000,00;55.44;Casa, 0.00 de área total, 56.17 de área privativa, 219.25 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418686735
 8444422653323 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DAS AGUAS BONITAS I ETAPA B ;QUADRA 4, N. SN, Apto 302, Lote 16-B ;64.616,96;145.000,00;55.44;Apartamento, 0.00 de área total, 46.75 de área privativa, 0.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422653323
 8444414793847 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 03 ;QUADRA 21 CONJUNTO B, N. SN/, Apto 202, LOTE  21 A ;64.814,76;145.000,00;55.31;Apartamento, 124.33 de área total, 67.68 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444414793847
 8444418781851 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES IMPERATRIZ ;QUADRA 6, N. SN, LT 01A01A RUA 33A CS 04 ;65.529,96;146.600,00;55.31;Casa, 0.00 de área total, 69.73 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418781851
 8444405860839 ;GO ;AGUAS LINDAS DE GOIAS ;MANSOES VILLAGE ;QD C-32 RUA CROACIA, N. s/n, Apto 101, BL A, LT 04, COND RES 7 ;58.105,66;130.000,00;55.31;Apartamento, 0.00 de área total, 44.73 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444405860839
 8444419318748 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;RUA 18, Apto 201, QUADRA 72, LOTE 04 ;59.446,56;133.000,00;55.31;Apartamento, 0.00 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419318748
 8787706340047 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;QUADRA 72, N. SN, Apto 202, LOTE 03, RUA 18 ;63.473,77;142.000,00;55.31;Apartamento, 74.22 de área total, 61.72 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787706340047
 8444420580876 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 10 ;RUA TOCANTINS, Apto 101, LT AV3-A2-A ST10 ;59.893,53;134.000,00;55.31;Apartamento, 0.00 de área total, 53.75 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420580876
 8444422477843 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA III ;AVENIDA SANTA HELENA QUADRA 24, Apto 202, LOTE 21 ;61.681,39;138.000,00;55.31;Apartamento, 95.80 de área total, 69.09 de área privativa, 0.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422477843
 8444419168061 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;RUA VINHATICO, N. SN, Apto 202, 1PAV LT10 QD 06 ;63.473,77;142.000,00;55.31;Apartamento, 101.52 de área total, 68.98 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444419168061
 8444422811360 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 12 ;QD 58 CJ A, N. S/N, Apto 202, LT10-C, RUA 13 ;66.929,74;148.000,00;54.78;Apartamento, 0.00 de área total, 58.66 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422811360
 8444415709815 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM PEROLA DA BARRAGEM I ;QUADRA 18, N. S/N, Apto 102, LOTE 20 UN 102 ;68.286,43;151.000,00;54.78;Apartamento, 0.00 de área total, 55.10 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444415709815
 8444404804331 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM DA BARRAGEM VI ;RUA 03, LT 38, QD 47 ;63.311,92;140.000,00;54.78;Casa, 0.00 de área total, 91.89 de área privativa, 360.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444404804331
 8444418126195 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AMERICA III ;AVENIDA SANTA HELENA, N. S/N, Apto 201, LOTE 18 QUADRA 24 ;64.668,61;143.000,00;54.78;Apartamento, 56.30 de área total, 56.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444418126195
 8444422365581 ;GO ;AGUAS LINDAS DE GOIAS ;PARQUE DA BARRAGEM SETOR 08 ;QUADRA 40 CONJUNTO A, Apto 102, LT 52E ;70.621,77;156.000,00;54.73;Apartamento, 0.00 de área total, 50.53 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444422365581
 8444428274847 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM AGUAS LINDAS ;QUADRA QUADRA 06, N. SN, CS 02  11A1 ;74.799,35;165.228,06;54.73;Casa, 0.00 de área total, 69.93 de área privativa, 150.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428274847
 8444416359320 ;GO ;AGUAS LINDAS DE GOIAS ;JARDIM SANTA LUCIA ;RESIDENCIAL CARAVELAS VI, CASA 08  LT 32 ;53.495,00;117.000,00;54.28;Casa, 0.00 de área total, 64.05 de área privativa, 156.99 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416359320
